"station","mm","dd","wday","mem","holiday","dur","avg","rev","n_AM","n_PM","n_tot","temp","rain"
99,"9",20,"Monday",0,0,108.9,18.15,23.835,2,4,6,17.3,0
99,"9",21,"Tuesday",0,0,114.55,22.91,23.4325,1,2,5,20.2,0
100,"4",12,"Monday",1,0,223.166666666667,15.9404761904762,NA,5,9,14,12.9,0
100,"4",23,"Friday",1,0,179.1,16.2818181818182,NA,4,6,11,8.3,0
100,"5",8,"Saturday",1,0,459.933333333333,20.9060606060606,NA,8,13,22,11.7,0
100,"5",12,"Wednesday",0,0,49.9333333333333,24.9666666666667,9.99,0,2,2,12,0
100,"7",28,"Wednesday",0,0,45.7166666666667,9.14333333333333,13.1075,1,2,5,19.2,0
100,"8",5,"Thursday",0,0,10.7333333333333,10.7333333333333,2.86,0,1,1,22.1,0
100,"8",9,"Monday",1,0,359.6,12.8428571428571,NA,10,11,28,25.2,0.2
100,"8",17,"Tuesday",1,0,429.183333333333,13.4119791666667,NA,13,15,32,21.2,0
100,"8",20,"Friday",0,0,43,10.75,11.45,1,1,4,25.9,0
100,"9",2,"Thursday",0,0,73.5333333333333,12.2555555555556,18.53,3,2,6,15.6,0
100,"9",9,"Thursday",1,0,325.283333333333,12.5108974358974,NA,7,13,26,19.5,1.6
100,"9",16,"Thursday",0,0,98.5166666666667,16.4194444444444,22.2775,3,3,6,16.9,0.2
100,"9",29,"Wednesday",1,0,508.466666666667,15.8895833333333,NA,13,17,32,11.2,0
100,"10",29,"Friday",0,0,125.65,17.95,27.5975,1,3,7,7.8,0
111,"4",14,"Wednesday",0,0,6.76666666666667,6.76666666666667,2.265,0,1,1,12.4,0
111,"4",29,"Thursday",0,0,35.2666666666667,11.7555555555556,9.04,2,1,3,13.8,0.8
111,"5",5,"Wednesday",1,0,214.533333333333,10.215873015873,NA,5,13,21,10.7,0.8
111,"6",13,"Sunday",1,0,555.383333333333,12.3418518518519,NA,7,22,45,21.6,2.8
111,"6",15,"Tuesday",1,0,400.3,8.70217391304348,NA,10,25,46,17.9,0
111,"6",20,"Sunday",1,0,579.133333333333,11.8190476190476,NA,7,29,49,21.8,0
111,"7",6,"Tuesday",1,0,507.283333333333,11.5291666666667,NA,10,20,44,23.1,1.2
111,"8",24,"Tuesday",0,0,270.75,11.7717391304348,69.3625,3,11,23,27.2,0
111,"8",25,"Wednesday",1,0,630.5,10.5083333333333,NA,17,25,60,26.6,0
111,"9",13,"Monday",0,0,177.933333333333,17.7933333333333,39.19,1,7,10,17.3,0.2
111,"9",29,"Wednesday",1,0,582.783333333333,7.77044444444444,NA,18,47,75,11.2,0
111,"10",6,"Wednesday",1,0,650.35,9.85378787878788,NA,10,43,66,14.3,0
111,"10",28,"Thursday",0,0,385.566666666667,16.0652777777778,87.835,4,11,24,7.9,0
120,"10",26,"Tuesday",1,0,91.4833333333333,13.0690476190476,NA,4,1,7,9.6,6.4
122,"4",10,"Saturday",0,0,90.3666666666667,18.0733333333333,19.805,3,2,5,16.4,0
122,"4",23,"Friday",1,0,353.15,14.7145833333333,NA,7,14,24,8.3,0
122,"4",29,"Thursday",0,0,73.1166666666667,36.5583333333333,13.4675,0,2,2,13.8,0.8
122,"5",18,"Tuesday",0,0,84.05,21.0125,17.6075,0,3,4,20,0
122,"6",6,"Sunday",1,0,455.416666666667,11.1077235772358,NA,5,26,41,24.5,0
122,"6",12,"Saturday",0,0,215.066666666667,19.5515151515152,46.01,0,2,11,19.3,0
122,"6",20,"Sunday",0,0,69.8333333333333,11.6388888888889,17.975,1,5,6,21.8,0
122,"6",29,"Tuesday",0,0,19.8333333333333,6.61111111111111,6.725,1,2,3,25.6,0
122,"6",30,"Wednesday",0,0,233.85,23.385,47.5775,5,1,10,23.4,31.7
122,"7",1,"Thursday",1,1,624.15,13.87,NA,6,26,45,20.6,0
122,"8",7,"Saturday",0,0,195.266666666667,17.7515151515152,43.04,3,5,11,23.6,0.8
122,"8",10,"Tuesday",1,0,305.95,16.1026315789474,NA,18,0,19,26.5,10.4
125,"4",24,"Saturday",0,0,130.716666666667,43.5722222222222,23.3575,0,3,3,14.1,0
125,"4",30,"Friday",1,0,9.9,9.9,NA,0,1,1,7.9,27.8
125,"5",6,"Thursday",1,0,189.516666666667,18.9516666666667,NA,1,8,10,10.2,0
125,"5",25,"Tuesday",0,0,95.5833333333333,23.8958333333333,19.3375,0,3,4,19.7,0.5
125,"5",29,"Saturday",0,0,137.433333333333,27.4866666666667,26.865,0,4,5,11.4,0
125,"6",3,"Thursday",1,0,145.6,20.8,NA,0,3,7,17.5,6.3
125,"7",9,"Friday",0,0,95.2166666666667,31.7388888888889,18.0325,0,3,3,18.1,0
125,"7",11,"Sunday",0,0,166.333333333333,23.7619047619048,33.7,0,1,7,21,0
125,"8",31,"Tuesday",0,0,146.1,29.22,28.165,0,5,5,20.6,0
125,"9",10,"Friday",1,0,260.383333333333,18.5988095238095,NA,0,12,14,17.1,0.3
125,"9",18,"Saturday",1,0,54.85,10.97,NA,1,4,5,18.7,0
125,"9",22,"Wednesday",1,0,128.65,14.2944444444444,NA,2,6,9,20.8,0.2
125,"10",14,"Thursday",0,0,17.0333333333333,17.0333333333333,3.805,0,0,1,18.3,0
126,"7",24,"Saturday",0,0,6.63333333333333,6.63333333333333,2.245,0,1,1,21.9,0.6
126,"7",28,"Wednesday",1,0,75.3833333333333,10.7690476190476,NA,0,7,7,19.2,0
126,"8",15,"Sunday",1,0,169.516666666667,18.8351851851852,NA,3,6,9,18.2,0
126,"10",1,"Friday",0,0,63.95,21.3166666666667,13.3425,1,1,3,12.5,0
126,"10",31,"Sunday",1,0,97.85,19.57,NA,1,4,5,9.6,37
135,"4",13,"Tuesday",0,0,57.6166666666667,9.60277777777778,16.1425,0,6,6,12.1,0.2
135,"4",14,"Wednesday",1,0,528.733333333333,13.9140350877193,NA,10,27,38,12.4,0
135,"5",1,"Saturday",1,0,579.6,16.56,NA,3,30,35,5.9,0
135,"5",4,"Tuesday",1,0,609.633333333333,15.2408333333333,NA,8,30,40,11.7,0
135,"5",14,"Friday",1,0,549.933333333333,12.7891472868217,NA,6,29,43,17.8,0
135,"5",18,"Tuesday",0,0,85.7833333333333,14.2972222222222,20.3675,1,5,6,20,0
135,"5",23,"Sunday",0,0,57.5333333333333,9.58888888888889,16.13,0,6,6,15.8,0.5
135,"6",9,"Wednesday",1,0,1095.68333333333,16.3534825870647,NA,9,43,67,24.1,0
135,"6",12,"Saturday",1,0,655.783333333333,13.3833333333333,NA,10,28,49,19.3,0
135,"7",15,"Thursday",1,0,685.9,13.718,NA,9,31,50,25.3,3.2
