OBJECTID,Type,Lien,Nom,NUM_INDEX,SUPERFICIE,PROPRIETE,GESTION,COMPETENCE,TYPO1,TYPO2
5346,Parc,,Oscar-Peterson,0311-000,1.7265984776888108,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de quartier
5347,Parc,,Ignace-Bourget,0345-000,12.152159138038098,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de quartier
5348,,,Dominion,0771-000,0.035198830171583435,Ville de Montréal,Le Sud-Ouest,Arrondissement,Espace voirie,Passage
5349,Parc,de l',Association-Eurêka,0767-001,0.399437330945936,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Îlot de verdure
5350,Parc,,Jean-Bosco,0629-000,0.1339146678681496,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Îlot de verdure
5351,Parc,,Jessie-Maxwell-Smith,0312-000,0.127928368040317,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de voisinage
5352,Parc,,Édouard-Fabre,0356-000,0.09140822625203911,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Îlot de verdure
5353,Parc,des,Éclusiers,1097-000,0.4320111540831075,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Îlot de verdure
5354,Parc,,Sir-George-Étienne-Cartier,0278-001,1.7820906011860937,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de quartier
5355,Mini-parc,,8e Avenue,2426-000,0.08971180800913385,Ville de Montréal,Lachine,Arrondissement,Parc d'arrondissement,Parc de voisinage
5356,Parc,,Saint-Gabriel,0260-001,1.0271970141154736,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de voisinage
5357,Parc,,Jacques-Couture,0281-000,0.04695773432542704,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Îlot de verdure
5358,Parc,,Pointe-Des-Seigneurs,1190-000,0.8876889249626964,Ville de Montréal,Le Sud-Ouest,Arrondissement,Autre espace vert,Espace vert
5359,Parc,,Pointe-Des-Seigneurs,1190-000,0.09654414240811046,Ville de Montréal,Le Sud-Ouest,Arrondissement,Autre espace vert,Espace vert
5360,Parc,,Jean-De-Matha,0917-000,0.6077187145362335,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de quartier
5361,Parc,des,Chaudronniers,0581-000,0.11534217795415057,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Îlot de verdure
5362,Parc,des,Couturières,0577-000,0.017568029410535,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Îlot de verdure
5363,Parc,,Carignan,2391-000,4.582151121699842,Ville de Montréal,Lachine,Arrondissement,Parc d'arrondissement,Parc de quartier
5364,Gare,,Lachine,2410-000,0.061448826515947394,Ville de Montréal,Lachine,Arrondissement,Parc d'arrondissement,Place publique
5365,,,55e Avenue et Autoroute 20,2433-000,0.03760759728815393,Ville de Montréal,Lachine,Arrondissement,Autre espace vert,Parc écran
5366,,,,,1.0479264179914933,,,,En cours de validation,
5367,,,,,0.21576577421222157,,,,En cours de validation,
5368,,,,,0.24556031924914642,,,,En cours de validation,
5369,,,55e Avenue et Autoroute 20,2433-000,0.15080753234430713,Ville de Montréal,Lachine,Arrondissement,Autre espace vert,Parc écran
5370,Parc,,Roger-Richer,2420-000,0.10123004116470352,Ville de Montréal,Lachine,Arrondissement,Parc d'arrondissement,Place publique
